sample_id,start_time,question,std_answer,Frame,task_type
10,100,What color is the substance in the leftmost small cup on the table?,yellow,Single,Attribute Perception
4,100,What is the time displayed on the scoreboard?,61:30:00,Single,Text-Rich Understanding
2,100,How many green indicators are shown below the Croatia score on the scoreboard?,4,Single,Counting
1,100,What is the name of the goal scorer for Sevilla FC displayed on the scoreboard?,En-Nesyri,Single,Text-Rich Understanding
8,120,What stage of the tournament is indicated in the top right corner of the screen?,ROUND OF 16,Single,Text-Rich Understanding
10,110,What color is the can on the right side of the table in the background?,red,Single,Attribute Perception
17,120,What word is displayed on the small sign on the wall in the kitchen?,HOT,Single,Text-Rich Understanding
11,120,What word is displayed on the red sign in the kitchen background?,COOK,Single,Text-Rich Understanding
12,110,What word is written on the small sign on the wall behind the cook?,HOT,Single,Text-Rich Understanding
19,120,What is written on the pink box in the toy cart?,BISCUITS,Single,Text-Rich Understanding
22,110,What color is the liquid in the bottles on the right side of the counter?,yellow,Single,Attribute Perception
24,100,What color is the small container positioned next to the olive oil bottle on the counter?,green,Single,Attribute Perception
18,100,What type of green leafy vegetable is in the bowl at the top left?,arugula,Single,Object Perception
25,120,What animal is visible near the window in the kitchen?,dog,Single,Object Perception
7,110,What is the number on the penalty taker's jersey?,20,Single,Text-Rich Understanding
4,110,What is the number on the Barcelona player's jersey who is kicking the ball?,7,Single,Text-Rich Understanding
29,110,What word is written on the small sign on the wall behind the cook?,HOT,Single,Text-Rich Understanding
29,120,What color is the cap of the bottle being used to pour liquid into the bowl?,orange,Single,Attribute Perception
31,120,What word is displayed on the small sign near the sink in the kitchen?,HOT,Single,Text-Rich Understanding
35,110,What pattern is on the child's socks?,striped,Single,Attribute Perception
30,110,What does the sign on the wall say in the background of the first scene?,ALWAYS,Single,Text-Rich Understanding
3,100,What is the sponsor logo on the Barcelona player's jersey?,Spotify,Single,Object Perception
38,110,What letter is visible on the cutting board?,B,Single,Text-Rich Understanding
38,120,What word is displayed on the red sign in the background of the kitchen?,COOK,Single,Text-Rich Understanding
31,100,What word is displayed in red on the wall in the kitchen?,COOK,Single,Text-Rich Understanding
36,120,What color is the ingredient in the small bowl positioned to the left of the red onion on the kitchen counter?,green,Single,Attribute Perception
39,110,What pattern is visible on the surface of the frying pan?,honeycomb,Single,Attribute Perception
49,100,What text is visible in the bottom right corner of the video?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
44,100,What letter is visible on the wooden cutting board on the counter?,B,Single,Text-Rich Understanding
51,110,What text is visible in the bottom right corner of the video?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
52,100,What text is visible in the bottom right corner of the video?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
54,120,What text is visible in the bottom right corner of the video?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
55,110,What text is visible in the bottom right corner of the video?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
55,100,What is the texture of the paper's underside visible when folded?,glittery,Single,Attribute Perception
58,110,What text is visible in the bottom right corner of the video frame?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
59,120,How many results are displayed in the materials list?,14,Single,Counting
60,120,What text appears in the bottom right corner of the video?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
63,100,What brand name is printed on the tweezers?,Cricut,Single,Text-Rich Understanding
59,100,"What is the pressure setting option visible in the dropdown menu besides ""Default""?",More,Single,Text-Rich Understanding
63,120,What text is visible in the bottom right corner of the video?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
65,100,What is the brand name written on the machine?,Cricut Joy,Single,Text-Rich Understanding
65,110,What is the text printed on the device?,Cricut Joy,Single,Text-Rich Understanding
56,100,What are the two numerical dimension values displayed for the selected square shape with a circular cutout?,3.404 and 7.553,Single,Text-Rich Understanding
65,120,What text is visible in the bottom right corner of the video?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
57,120,What type of finish is specified on the Minwax Polycrylic can?,CLEAR GLOSS,Single,Text-Rich Understanding
62,100,What number is printed on the 'Color Pour Resin' box?,2,Single,Text-Rich Understanding
67,110,What brand name is written on the white marker used in the video?,Cricut,Single,Text-Rich Understanding
66,100,What color name is printed on the leftmost packet in the background?,Black,Single,Text-Rich Understanding
66,120,What is the weight specified on the RIYA packet label?,5g (0.18oz),Single,Text-Rich Understanding
68,100,What text is visible in the bottom right corner of the video?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
67,120,What is the name written in blue on one of the stickers?,Nathan,Single,Text-Rich Understanding
70,110,What is the first shape listed in the shapes menu?,Square,Single,Text-Rich Understanding
71,100,"What word follows ""COMPLETE AND"" in the description of the story requirement on the whiteboard?",COHERENT,Single,Text-Rich Understanding
73,110,What word follows 'ENTER AN' in point 3 on the whiteboard?,UNFAMILIAR,Single,Text-Rich Understanding
74,120,"What film title is listed under the ""VIEWING"" section on the whiteboard?",Hannah and Her Sisters,Single,Text-Rich Understanding
78,110,"What year is listed next to ""RAIDERS OF THE LOST ARK"" in the viewing assignment on the whiteboard?",1981,Single,Text-Rich Understanding
79,110,"What movie is listed under the ""VIEWING"" section on the whiteboard?",Beetlejuice (1988),Single,Text-Rich Understanding
81,100,What is the name on the nameplate in front of the man at the desk?,BRAD DUPREE,Single,Text-Rich Understanding
83,100,"What movie title is listed under ""VIEWING"" on the whiteboard?",THE HUDSUCKER PROXY (1994),Single,Text-Rich Understanding
83,120,"What movie is listed under ""VIEWING"" on the whiteboard?",THE HUDSUCKER PROXY,Single,Text-Rich Understanding
80,100,What is visible on the person's face in the close-up shot?,sweat droplets,Single,Attribute Perception
84,110,What is the lab assignment described on the whiteboard?,"Record video examples of the types of focus (deep, shallow, soft & rack)",Single,Text-Rich Understanding
84,120,"What movie is listed under the ""VIEWING"" section on the whiteboard?",Pride + Prejudice (2005),Single,Text-Rich Understanding
