sample_folder,start_time,question,standard_answer,task_type
sample_110,724 ,What is the time displayed on the mobile phone right now?,The time is 9:42,Text-Rich Understanding
sample_117,758 ,What are the words under the blue coin icon right now?,The words under the blue coin icon are '投币',Text-Rich Understanding
sample_382,249 ,What is the license plate number of the orange van in the front left right now?,The license plate number is 3K59,Text-Rich Understanding
sample_390,495,What is the text in the logo on the white truck?,The text is 'Ryder',Text-Rich Understanding
sample_391,119,What website is written on the blue bus right now?,The website written on the blue bus is 'starrtours.com',Text-Rich Understanding
sample_393,415,What was written on the logo of the white police van that just passed by?,"It said ""NYPD"" on the logo of the white police van that just passed by.",Text-Rich Understanding
sample_4,129,What is the name on the back of the jersey of the man wearing the red and blue jersey and jumping up to celebrate?,"The name on the back of his jersey is ""Raphinha""",Text-Rich Understanding
sample_327,460,What is the positional relationship between the man in the striped shirt and black pants and the man in the white shirt and dark blue pants?,They are sitting on the same side and next to each other.,Spatial Understanding
sample_334,0,"What is the person wearing a green shirt, and grey pants doing?",He/She is taking a photo,Action Perception
sample_327,581,Did the man in the white T-shirt and white hat look back?,Yes.,Action Perception
sample_254,188,What is the name displayed on the white banners on the sides of the track right now?,Val di Sole.,Text-Rich Understanding
sample_267,493,What brand is visible on the steering wheel right now?,OMP.,Text-Rich Understanding
sample_395,238,What is the color of the motorcycle in the bottom half of the video?,The motorcycle in the bottom half of the video is black.,Attribute Perception
sample_329,584,What is the color of the van parked on the left side of the street?,The van is white with orange accents.,Attribute Perception
sample_31,8,What is the color of the oven door in the background?,The oven door in the background is black.,Attribute Perception
sample_4,59,What number is written on the goalkeeper in light blue right now?,The number written on the goalkeeper in light blue is 13,Text-Rich Understanding
sample_105,206 ,What English letter is written in red on the right grey wall?,The English letter is written in red on the right grey wall is B,Text-Rich Understanding
sample_118,3 ,What are the white words that appear in the middle and lower part of the computer screen right now?,ELIMINATED,Text-Rich Understanding
sample_383,120 ,What is the code on the top of the orange car in the left side right now?,The code on the top of the car is 5C96,Text-Rich Understanding
sample_386,466 ,What does the text on the green bus that just passed in front say?,It said 'JERSEY BOYS meets WEST SIDE STORY'.,Text-Rich Understanding
sample_387,501 ,What is written on the red bus in black and white right now?,It says 'TOP VIEW' on the red bus in black and white.,Text-Rich Understanding
sample_388,325 ,What is the black text on the white sign with a red logo on the right side of the road?,The text is 'HSBC',Text-Rich Understanding
sample_1,68 ,What is the number on the shorts of the person wearing the white jersey and taking a shot?,The number on the shorts of the person wearing the white jersey and taking a shot is 15.,Text-Rich Understanding
sample_421,244 ,What type of vehicle is visible right now?,Helicopter.,Object Perception
sample_380,240 ,What color is the logo on the yellow car that just passed by?,Purple,Attribute Perception
sample_380,251 ,How many cars just passed by?,Three cars just passed by.,Counting
sample_309,383 ,Why is this red sign placed near this entrance?,"Because this is a children's play area, a notice is needed to remind people not to leave strollers parked improperly",Text-Rich Understanding
sample_319,85 ,"What might the man in the dark green top, black hat, and gray pants with a bag, and the brown-haired woman in the dark blue top and black pants do next?",The man and the woman might be taking a photo.,Action Perception
sample_332,164 ,What is the woman in the white shirt and face mask doing?,She is taking a photo.,Action Perception
sample_114,242 ,What label is visible on the memory bank just now?,Crucial.,Text-Rich Understanding
sample_254,47 ,What is written on the yellow brand visible right now?,TIMING.,Text-Rich Understanding
sample_314,588 ,What does the sign with an illustration of a person swimming in blue water indicate?,Beach Closed.,Text-Rich Understanding
sample_387,501 ,What is the company name visible on the red billboard to the right?,Applebees.,Text-Rich Understanding
sample_254,0 ,What is the sign that the rider passes by on the dirt path?,"The sign is labeled ""WHOOP.""",Text-Rich Understanding
sample_389,249 ,What is the name of the street visible?,E 22 St,Text-Rich Understanding
sample_105,206 ,What is the color of the graffiti on the wall in the background?,The graffiti on the wall in the background is red.,Attribute Perception
sample_190,946 ,"What is the color of the button that appears when the character interacts with the ""Subscribe"" button?",The button changes from red to gray when the character interacts with it.,Text-Rich Understanding
sample_309,329 ,What is the name of the building in the background?,"The building in the background is called ""Home for Girls.""",Text-Rich Understanding
sample_399,121 ,What is the color of the dumpster on the right side of the street?,The dumpster on the right side of the street is blue.,Attribute Perception
sample_387,501 ,What is the number on the side of the white van?,"The number on the side of the white van is ""2689.""",Text-Rich Understanding
