sample_folder,start_time,question,options,standard_answer,task_type
sample_1,10,What is the name of the stadium displayed on the banner behind the field?,"A) Ramon Sanchez-Pizuan  
B) Ramon Sanchez-Pizjuan  
C) Ramon Sanchez-Pizjua  
D) Ramon Sanchez-Pizjuan Stadium",B,Text-Rich Understanding
sample_6,10,What name is printed above the number 20 on the player's jersey during the team lineup?,A) YURARY B) YURAR C) YURRY D) YURA,A,Text-Rich Understanding
sample_32,10,What word is visible on the small sign near the counter in the kitchen background?,A) COLD  B) SALT  C) SPICE  D) HOT,D,Text-Rich Understanding
sample_44,10,What design is visible on the blue container positioned on the top right shelf?,A) A star  B) A fish  C) A heart  D) A flower,B,Attribute Perception
sample_68,10,What brand name is visible on the white craft tool being held in the right hand during the crafting process?,A) Cricut B) Craft C) Cuttle D) Create,A,Text-Rich Understanding
sample_80,10,"According to the whiteboard in the lesson, in what year was the film *Vertigo* released?",A) 1955 B) 1958 C) 1960 D) 1962,B,Text-Rich Understanding
sample_85,10,"What year is specified for the viewing assignment ""DAYS OF HEAVEN"" on the whiteboard?",A) 1970 B) 1972 C) 1978 D) 1980,C,Text-Rich Understanding
sample_89,10,"What year is listed next to ""Singin' in the Rain"" under the ""VIEWING"" section on the whiteboard?",A) 1945  B) 1950  C) 1952  D) 1962,C,Text-Rich Understanding
sample_117,10,What percentage increase is displayed next to the RTX 4080 SUPER model's CUDA core count?,A) +10% B) +5% C) +22% D) +33%,B,Text-Rich Understanding
sample_120,10,What color is the ring on the left hand when the device is placed on the wooden surface?,A) Silver B) Gold C) Black D) No ring,C,Attribute Perception
sample_147,10,What is visible in the person's ear during the warm-up exercise on the StairMaster?,A) A black earbud B) A white earbud C) A small earring D) Nothing,B,Object Perception
sample_152,10,What is the specific pattern on the hair clip being placed in the woman's hair?,A) Simple solid band B) Floral design C) Crisscross pattern D) Striped pattern,C,Attribute Perception
sample_158,10,What is the specific design on the cover of the orange book?,"A) A solid white circle  
B) A circle with one dot  
C) A circle with two dots  
D) A circle with three dots",C,Attribute Perception
sample_172,10,What service is advertised on the dealership sign visible during the drive?,"A) Tires  
B) Oil change  
C) Brakes  
D) Engine repair",A,Text-Rich Understanding
sample_183,10,What is the speed limit displayed on the sign visible on the right side of the road during the cycling event?,A) 30 B) 40 C) 50 D) 60,C,Text-Rich Understanding
sample_201,10,How many dots are visible on the center of each front yellow wheel of the Lego train?,A) 0 B) 1 C) 2 D) 3,C,Counting
sample_214,10,What color is the letter 'c' in the word 'Antics' on the person's t-shirt?,A) Red B) Green C) Blue D) Purple,C,Attribute Perception
sample_250,10,"When Mr. Bean opens his mouth wide during the animation sequence, which specific detail can be observed?","A) The mouth appears as a solid dark shape with no internal details
B) A red tongue is visible
C) White teeth are visible
D) A mustache is visible above the mouth",C,Attribute Perception
sample_251,10,What color is the glove on the hand opening the driver's side door?,A) Red B) Black C) Blue D) White,C,Attribute Perception
sample_255,10,What is the shape of the logo on the player's shorts?,A) Circle B) Shield C) Star D) Square,B,Attribute Perception
sample_285,10,What phrase appears in the chat log during the video?,A) FAKE POPULATION B) FAKE PERSONS C) FAKE PEOPLE D) FAKE POP,C,Text-Rich Understanding
sample_316,10,What text is displayed above the entrance doors of the fire station building?,A) FIRE HOUSE B) ENGINE HOUSE C) FIRE DEPARTMENT D) ENGINE ROOM,B,Text-Rich Understanding
sample_323,10,What text appears on the yellow storefront sign visible in the street scene?,A) 金丸 B) 金太郎 C) 金龍 D) 銀座,B,Text-Rich Understanding
sample_325,10,What business name is displayed on the red sign atop the building in the background during the sequence?,A) BAKERY B) CAFE C) PIZZERIA D) RESTAURANT,C,Text-Rich Understanding
sample_338,10,What letter is visible on the shirt of the person standing in the background during the hot dog preparation?,A) P B) R C) B D) S,A,Text-Rich Understanding
sample_343,10,What color is the nozzle of the spray bottle visible on the counter to the right of the cooking appliance?,A) Red B) Blue C) Yellow D) Green,C,Attribute Perception
sample_346,10,What number is printed on the receipt held by the person in the video?,A) 1428 B) 1348 C) 1438 D) 1439,C,Text-Rich Understanding
sample_371,10,What pattern is visible on the pink cloth used to wipe the steam wand?,"A) Solid color  
B) Polka dots  
C) Chevron  
D) Stripes",C,Attribute Perception
sample_374,10,What is the brand name printed on the labels of the packaged meat products visible on the metal table?,A) SABATINO B) SABATI C) SABATTO D) SABATO,A,Text-Rich Understanding
sample_394,10,What is the fleet number displayed on the rear of the yellow bus?,A) 9586 B) 9685 C) 8596 D) 9856,A,Text-Rich Understanding
sample_414,10,What price is displayed on the yellow price tag near the center of the grocery aisle?,A) 2.00 B) 5.00 C) 3.50 D) 4.99,B,Text-Rich Understanding
sample_416,10,How many distinct yellow markers are visible on the mountain slope?,A) 0 B) 1 C) 2 D) 3,C,Counting
sample_430,10,What distinctive feature is visible on the person's white t-shirt?,"A) A logo on the right chest
B) A pocket on the left chest
C) A striped pattern
D) A pocket on the right chest",B,Attribute Perception
sample_448,10,What number is displayed on the shelf label that the person points to during the video?,A) 33 B) 34 C) 35 D) 36,B,Text-Rich Understanding
sample_465,10,How many distinct orange circular elements are visible in the green-toned painting on the left?,A) 4 B) 5 C) 6 D) 7,C,Counting
sample_469,10,What is the exact name of the gallery space displayed on the white wall in the exhibition?,"A) Gallery Elim / ONE Art Space New York  
B) Gallery Elim / ONE Art Space NY  
C) Gallery Elim / ONE Art Space N.Y.  
D) Gallery Elin / ONE Art Space N.Y.",C,Text-Rich Understanding
sample_470,10,What name appears above the QR code on the white wall in the gallery?,A) YUKO NAKAMURA B) MIKIKO SATO C) REIKO TAKAHASHI D) REIKO TSUNASHIMA,D,Text-Rich Understanding
sample_496,10,What number is displayed on the runway in the overhead view of the airport?,A) 12 B) 24 C) 21 D) 13,C,Text-Rich Understanding
sample_20,10,"In the video, which direction does the person's right hand move first?",A) Up B) Down C) Left D) Right,A,Action Perception
sample_87,10,"After raising both hands with palms outward, what specific gesture does the person make with their right hand in the final frame of the sequence?",A) Open palm facing upward B) Fist with thumb extended C) Index finger pointing forward D) Hand waving side to side,C,Action Perception
sample_115,10,"During the sequence, from which direction does an additional vehicle approach the main car?","A) From the left  
B) From the right  
C) From behind  
D) From the front",A,Spatial Understanding
sample_125,10,In which direction do the drawing pencils shift as the video progresses?,A) Left B) Right C) Up D) Down,A,Action Perception
sample_130,10,What image is revealed on the canvas as the person rotates it during the sequence?,A) A landscape scene B) A portrait of a woman C) A helmet design D) An abstract geometric pattern,C,Object Perception
sample_165,10,How does the vehicle's speed change over the course of the video sequence?,"A) Increases steadily  
B) Decreases steadily  
C) Remains constant  
D) Fluctuates erratically",B,Action Perception
sample_166,10,"What is the minimum value of the ""1/min"" metric displayed in the video?",A) 59 B) 60 C) 61 D) 62,B,Text-Rich Understanding
sample_167,10,What is the change in the slope percentage indicator throughout the video sequence?,"A) It increases from 10% to 11%  
B) It remains constant at 10%  
C) It decreases from 10% to 9%  
D) It fluctuates between 8% and 10%",C,Attribute Perception
sample_173,10,What is the maximum speed (in km/h) displayed on the speed gauge during the sequence?,A) 20 B) 21 C) 22 D) 23,D,Text-Rich Understanding
sample_178,10,"What is the highest value displayed for the ""1/min"" metric during the video sequence?",A) 73 B) 74 C) 75 D) 76,C,Text-Rich Understanding
sample_246,10,What object is the person holding as they enter the room through the door?,A) a broom B) a book C) a cane D) nothing,C,Object Perception
sample_269,10,How does the cyclist's speed in kilometers per hour (KPH) change between consecutive frames during the outdoor segment?,"A) Increases by 1 KPH each frame  
B) Increases by 2 KPH each frame  
C) Decreases by 1 KPH each frame  
D) Remains constant",A,Action Perception
sample_305,10,How many dogs are visible throughout the video sequence?,A) 0 B) 1 C) 2 D) 3,B,Counting
sample_314,10,Which vehicle is no longer visible in the later frames of the video?,A) Yellow vintage truck B) Red sports car C) Black convertible D) Blue sedan,A,Action Perception
